-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Filtros aplicados
[Cliente.: 00001 - 00001]    [Contrato.: 000001 - 000001]  [Loja.: 00000 - 99999]        [Rede.: 0000 - 9999]          [Serviço.: 00000 - 99999]
[Dia Faturamento.: 01 - 31]  [Competência: 10/2020]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cliente: 00001   CNPJ: 77.752.293/0001-98 - COOPERATIVA AGROINDUSTRIAL LAR                     - LAR
"OUTROS MEDIANEIRA, 1220, SALA 05, CEP 85884-000 - MEDIANEIRA - PR  Obs.:"
"00088-2 VISITAS SEMANAIS   0018 00018 SP FRANCO DA ROCHA           JARDIM LUCIANA           RUA MUNICIPAL DOS ABREUS,45          00000006798714       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0019 00019 SP JUNDIAI                   VILA DE VITO             AV. ANTONIO FREDERICO OZANAN,3003    00000006680301       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0020 00020 SP PRAIA GRANDE              GUILHERMINA              AV. PRESIDENTE KENNEDY,4145          00000006732806       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0021 00021 SP SANTOS                    VILA MATHIAS             AV. SENADOR FEIJO / COM MARTINS,119  00000006101605       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0022 00023 SP GUARUJA                   JARDIM CONCEICAOZINHA  V RUA VALDOMIRO MACARIO,59             00000006767680       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0023 00024 SP SOROCABA                  JARDIM NOVO HORIZONTE    AV. IPANEMA,3865                     00000006801614       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0024 00025 SP ATIBAIA                   CAETETUBA                AV. PROFESSOR FLAVIO PIRES DE CAMA,2 00000006944665       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0025 00026 SP SAO JOSE DOS CAMPOS       JARDIM AUGUSTA           AV. SAMUEL WAINER,3735               00000006946221       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0026 02290 SP SAO PAULO                 VILA EMA                 AV. VILA EMA,3952                    00000006106496       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0027 02617 SP SAO BERNARDO DO CAMPO     PAULICEIA                RUA GARCIA LORCA,105                 00000006106970       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0028 02702 SP GUARULHOS                 JARDIM BELA VISTA        ESTRADA PRES JUSCELINO KUBITSCHECK O 00000006106497       249,92          0,00  01/10/2020 31/10/2020"
"00088-2 VISITAS SEMANAIS   0029 04268 SP SANTO ANDRE               SANTA TERESINHA          AV. DOS ESTADOS,6947                 00000006111402       249,92          0,00  01/10/2020 31/10/2020"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"Total Vencimentos:       Rede No 0001 - ROLDÃO                                   7.247,68          0,00              7.247,68"
""
"Total da rede(0001)....: ROLDÃO                                                  7.247,68          0,00              7.247,68"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0003 - MAXXI ATACADO
"00143-6 VISITAS - 2H       0030 00045 PR PINHAIS                   EMILIANO PERNETA         RODOVIA JOAO LEOPOLDO JACOMEL,13082  00000006739993     1.173,60          0,00  01/10/2020 31/10/2020"
"00102-5 VISITAS ATÉ 2H     0031 00046 PR CURITIBA                  PORTAO                   RUA JOAO BETTEGA,2576                00000006922988     1.101,75          0,00  01/10/2020 31/10/2020"
"00102-5 VISITAS ATÉ 2H     0032 00048 PR CURITIBA                  BOQUEIRAO                AV. MARECHAL FLORIANO PEIXOTO,10520  00000006126221     1.101,75          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0033 00054 RS SANTA MARIA               NOSSA SENHORA MEDIANEIRA AV. HELVIO BASSO,1248                00000006135830     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0034 00055 RS RIO GRANDE                QUINTA                   RODOVIA BR-471,KM 56                 00000006135843     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0035 00056 RS PORTO ALEGRE              SARANDI                  AV. ASSIS BRASIL,8285                00000006135856     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0036 00057 RS RIO GRANDE                VILA JUNCAO              AV. PRESIDENTE VARGAS,803            00000006135869     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0037 00058 RS GRAVATAI                  BOM PRINCIPIO            AV. DORIVAL CANDIDO LUZ DE OLIVEIR,4 00000006125167     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0038 00059 RS CAXIAS DO SUL             SAGRADA FAMILIA          AV. RUBEM BENTO ALVES,468            00000006125688     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0039 00060 RS NOVO HAMBURGO             CENTRO                   RUA PRIMEIRO DE MARCO,2400           00000006793052     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0040 00061 RS PELOTAS                   CENTRO                   AV. FERNANDO OSORIO,2072             00000006793065     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0041 00062 RS PORTO ALEGRE              CENTRO HISTORICO         AV. SENADOR SALGADO FILHO,7131       00000006793078     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0042 00063 RS RIO GRANDE                GETULIO VARGAS           RUA SENADOR ALBERTO PASQUALINI,1476  00000006793081     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0043 00064 RS SANTO ANGELO              CENTRO                   AV. BRASIL,351                       00000006793094     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0044 00065 RS PORTO ALEGRE              HUMAITA                  AV. A  J  RENNER,1603                00000006135872     3.542,68          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0045 00066 RS CANOAS                    CENTRO                   AV. GUILHERME SCHELL,8800            00000006135827     3.542,68          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0046 00049 SC ITAJAI                    CIDADE NOVA              AV. GOVERNADOR ADOLFO KONDER,700     00000006748104     1.128,80          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0047 00050 SC LAGES                     UNIVERSITARIO            AV. DOM PEDRO II,2015                00000006748120     1.128,80          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0048 00051 SC CHAPECO                   LIDER                    AV. FERNANDO MACHADO,3750            00000006748133     3.542,68          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0049 00052 SC CRICIUMA                  PINHEIRINHO              RUA IMIGRANTE DAROS,6600             00000006748146     1.128,80          0,00  01/10/2020 31/10/2020"
"00013-6 VISITAS COM ATÉ 4  0050 00053 SC FLORIANOPOLIS             CAPOEIRAS                RODOVIA BR-282,S/N                   00000006748094     1.856,25          0,00  01/10/2020 31/10/2020"
"00095-6 VISITAS DE ATÉ 2H  0051 00031 SP DIADEMA                   CANHEMA                  AV. ANTONIO PIRANGA,2085             00000006737128     1.034,68          0,00  01/10/2020 31/10/2020"
"00095-6 VISITAS DE ATÉ 2H  0052 00032 SP TABOAO DA SERRA           PARQUE SANTOS DUMONT     RUA DO TESOURO,680                   00000006733782     1.034,68          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0053 00033 SP PIRACICABA                MORUMBI                  AV. DOUTOR CASSIO PASCHOAL PADOVAN,1 00000006801630     1.034,68          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0054 00034 SP PRESIDENTE PRUDENTE       JARDIM MONTE ALTO        RUA JOAQUIM PEREIRA DA PAIXAO,39     00000006911711     1.034,68          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0055 11328 SP SAO PAULO                 VILA GUILHERME           AV. JOAQUINA RAMALHO,340             00000006117439     1.034,68          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0056 11329 SP SANTO ANDRE               VILA METALURGICA         AV. DOS ESTADOS,8500                 00000006117438     1.034,68          0,00  01/10/2020 31/10/2020"
"00095-6 VISITAS DE ATÉ 2H  0057 12165 SP INDAIATUBA                JARDIM NOVA INDAIA       RUA ELY LOPES DE SOUZA,750           00000006120013     1.033,34          0,00  01/10/2020 31/10/2020"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"Total Vencimentos:       Rede No 0003 - MAXXI ATACADO                           65.458,69          0,00             65.458,69"
""
"Total da rede(0003)....: MAXXI ATACADO                                          65.458,69          0,00             65.458,69"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0011 - ASSAI
"00010-6X VISITAS C/3:00H   0058 00675 AL MACEIO                    SERRARIA                 AV. MENINO MARCELO,S/N               00000006107164     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0059 05266 AL ARAPIRACA                 SANTA EDWIGES            RODOVIA AL 220                       00000006113827     2.024,39          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0060 00715 AM MANAUS                    NOVO ALEIXO              AV. AUTAZ MIRIM,8755                 00000006101112     1.102,17          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0061 03264 AM MANAUS                    ALEIXO                   AV. EPHIGENIO SALLES,2045            00000006109875     1.686,99          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0062 11336 AP MACAPA                    JARDIM MARCO ZERO        AV. STEPHAN HOUA - ROD JUSCELINO K,3 00000006116799     1.174,12          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00029-06 X ATÉ 01 HORA     0063 00676 BA FEIRA DE SANTANA          SOBRADINHO               AV. EDUARDO FROES DA MOTA            00000006113458       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0064 00682 BA SALVADOR                  PARIPE                   AV. AFRANIO PEIXOTO,S/N              00000006111967       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0065 00683 BA JUAZEIRO                  JD FLORIDA               AV SÃO JOÃO,1947                     00000006111963       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0066 00684 BA PAULO AFONSO              JARDIM BAHIA             AV. DO AEROPORTO,13                  00000006111969       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0067 00685 BA JEQUIE                    SAO JUDAS TADEU          AV. CESAR BORGES,S/N                 00000006111961       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0068 00686 BA VITORIA DA CONQUISTA      FELICIA                  AV. ANEL DE CONTORNO,S/N             00000006111965       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0069 00687 BA LAURO DE FREITAS          ITINGA                   AV SANTOS DUMONT,2239                00000006111968       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0070 02725 BA CALÇADA - SALVADOR        CALCADA                  RUA LUIZ MARIA,S/N                   00000006111970       674,80          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0071 05235 BA GUANAMBI                                           RODOVIA BR 030,5978                  00000006112780       674,80          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0072 05263 BA SALVADOR                  JARDIM CAJAZEIRAS        RUA GENARO DE CARVALHO,516 GOLF CLUB 00000006113424       674,80          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0073 05264 BA CAMAÇARI - SALVADOR       JD LIMOEIRO              AV. JORGE AMADO,SN                   00000006113634       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0074 10750 BA ILHEUS                    NOSSA SENHORA DA VITORIA AV. TANCREDO NEVES,4050              00000006115939       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0075 11348 BA SERRINHA                  CIDADE NOVA              AV. LOMANTO JUNIOR - BR 116,S/N      00000006117746       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0076 11367 BA ITAPETINGA                RECANTO DA COLINA        RODOVIA BA  263,S/N                  00000006117750       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0077 11391 BA SENHOR DO BONFIM          UMBURANA                 RUA JOSE OTAVIO CARVALHO,S/N         00000006117752       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0078 00694 CE FORTALEZA                 SAO GERARDO              AV. BEZERRA DE MENEZES,571           00000006104247     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0079 00695 CE JUAZEIRO DO NORTE         SAO JOSE                 AV. PADRE CICERO,4408                00000006103869     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0080 00696 CE SOBRAL                    CIDADE GERARDO CRISTINO  RODOVIA BR-222,3668                  00000006107293     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0081 00697 CE CAUCAIA                   TABAPUA                  RODOVIA BR-222,6970                  00000006104247     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0082 00698 CE FORTALEZA                 PARANGABA                AV. GODOFREDO MACIEL,86              00000006104247     1.102,17          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0083 00699 CE FORTALEZA                 JOSE DE ALENCAR          AV. WASHINGTON SOARES,5657           00000006104247     1.102,17          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0084 05265 CE FORTALEZA                 MESSEJANA                RODOVIA BR-116,7555                  00000006114415     1.349,59          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0085 11881 MA SAO LUIS                  SAO BERNARDO             AV. GUAJAJARAS,270                   00000006118905     1.128,47          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0086 11306 PA PARAUAPEBAS               GLEBA CARAJAS III        RODOVIA PA 275,S/N                   00000006116793     2.280,56          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0087 11337 PA SANTAREM                  SANTARENZINHO            AV. ENGENHEIRO FERNANDO GUILHON,S/N  00000006117910     3.116,77          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0088 00700 PB CAMPINA GRANDE            TAMBOR                   AV. JORNALISTA ASSIS CHATEAUBRIAND,S 00000006107173     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0089 00701 PB JOAO PESSOA               ERNESTO GEISEL           RUA MOTORISTA ALDOVANDRO AMANCIO P,5 00000006107171     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0090 00688 PE CARUARU                   NOSSA SENHORA DAS DORES  AV. CLETO CAMPELO,9                  00000006107170     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0091 00689 PE JABOATAO DOS GUARARAPES   CAJUEIRO SECO            AV. BARRETO DE MENEZES,S/N           00000006107170     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0092 00690 PE GARANHUNS                 HELIOPOLIS               AV. PREFEITO LUIZ SOUTO DOURADO,1102 00000006107165     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0093 00691 PE PAULISTA                  ARTUR LUNDGREN II        RODOVIA BR-101 NORTE,5800            00000006107170     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0094 00692 PE CAMARAGIBE                TIMBI                    AV. DOUTOR BELMINO CORREIA,681       00000006107166     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0095 00693 PE RECIFE                    IMBIRIBEIRA              AV. MARECHAL MASCARENHAS DE MORAIS,2 00000006107163     1.349,59          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0096 02871 PI TERESINA                  PIAUI                    AV. JOSE FRANCISCO DE ALMEIDA NETO,S 00000006106310     1.174,12          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0097 11349 PI PICOS                     BELO NORTE               OUTROS RODOVIA BR-316,S/N            00000006118274     1.174,12          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0098 00702 RN NATAL                     CANDELARIA               AV. DAO SILVEIRA,S/N                 00000006107174     1.349,59          0,00  01/10/2020 31/10/2020"
"00010-6X VISITAS C/3:00H   0099 00703 RN    NATAL                  JARDIM LOLA              AV. BACHAREL TOMAZ,S/N               00000006107175     1.349,59          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0100 00674 SE ARACAJU                   JOSE CONRADO DE ARAUJO   RUA SIMEAO AGUIAR,430                00000006111960       674,80          0,00  01/10/2020 31/10/2020"
"00029-06 X ATÉ 01 HORA     0101 03031 SE ITABAIANA                 SITIO PORTO              AV. EDUARDO PAIXÃO  ROCHA,1667       00000006111971       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0102 11390 SE ARACAJU                   ATALAIA                  AV. MELICIO MACHADO,134              00000006117753       674,80          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0103 00401 SP SAO PAULO                 PARQUE PAINEIRAS         AV. AGUIA DE HAIA,2636               00000006100626       551,32          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00006-DIARIAS              0104 00402 SP SAO PAULO                 VARZEA DA BARRA FUNDA    AV. MARQUES DE SAO VICENTE,1354      00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0105 00403 SP SAO PAULO                 LIMAO                    AV. ENGENHEIRO CAETANO ALVARES,1927  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0106 00404 SP COTIA                     JARDIM TORINO            ESTRADA DO EMBU,162                  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0107 00418 SP GUARULHOS                 GUARULHOS                RUA AV ANIELLO PRATICE - WASHINGTO,4 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0108 00422 SP SAO PAULO                 VILA ALBERTINA           AV. SANTA MARINA,2100                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0109 00426 SP SAO PAULO                 GUAIANASES               ESTRADA DOM JOAO NERY,4031           00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0110 00431 SP SAO PAULO                 CONJUNTO HABITACIONAL PA AV. SYLVIO TORRES,190                00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0111 00432 SP ITAQUAQUECETUBA           VILA MONTE BELO          ESTRADA SAO PAULO-MOGI,3810          00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0112 00433 SP SAO PAULO                 VILA PARQUE JABAQUARA    RUA TAQUARUCU,79                     00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0113 00434 SP SAO PAULO                 VILA CONSTANCA           AV. LUIS STAMATIS,35                 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0114 00435 SP SAO PAULO                 JAGUARE                  AV. JAGUARE,925                      00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0115 00436 SP SAO PAULO                 JARDIM SAO LUIS          AV. GUIDO CALOI,25                   00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0116 00595 SP SAO PAULO                 VILA SANTO HENRIQUE      AV. CONDESSA ELISABETH DE ROBIANO,55 00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0117 00598 SP SAO PAULO                 NORDESTINA               AV. NORDESTINA,3077                  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0118 00599 SP MOGI DAS CRUZES           VILA MOGILAR             RUA JOSE MELONI,998                  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0119 00600 SP OSASCO                    VILA YARA                AV. DOS AUTONOMISTAS,1687            00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0120 00603 SP SANTO ANDRE               VILA HOMERO THON         RUA GIOVANNI BATTISTA PIRELLI,1221   00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0121 00605 SP SANTO ANDRE               CENTRO                   RUA VISCONDE DE TAUNAY,216           00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0122 00607 SP SAO BERNARDO DO CAMPO     PLANALTO                 AV. PIRAPORINHA,680                  00000006100626       551,32          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0123 00608 SP SAO CAETANO DO SUL        CENTRO                   RUA SENADOR VERGUEIRO,428            00000006100626       551,32          0,00  01/10/2020 31/10/2020"
